specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.82e-07,2.996877203228381e-08,9.718310239373306e-08,-1.2528770066677327e-07,8.934448315795562e-08,1.0058164888837148e-09,-1.7539151429775218e-09,2.990049183516753e-08,,,2.5e-05,ZI,573.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.66e-07,4.071538498391185e-08,9.093893036694218e-08,-1.1190032873019214e-07,8.224613895977964e-08,-1.2617482304781204e-09,-3.7107978485117654e-09,4.0526294490349355e-08,,,2.5e-05,ZI,598.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.53e-07,5.136578536376052e-08,8.59519995748068e-08,-1.0171045628094066e-07,7.534080469583048e-08,-5.176304889274424e-09,-5.0941571023937635e-09,5.084977224280675e-08,,,2.5e-05,ZI,623.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.4e-07,5.7951438166681884e-08,7.847774523508111e-08,-9.352613482260109e-08,6.851354324483848e-08,-7.369037121520861e-09,-7.276884772646362e-09,5.701853580629749e-08,,,2.5e-05,ZI,648.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.29e-07,6.657517414899583e-08,7.356689286342432e-08,-8.28603856254041e-08,6.605352956830372e-08,-2.534470191586217e-09,-2.6985810272651257e-09,6.647215909127947e-08,,,2.5e-05,ZI,673.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.1e-07,8.305549041711734e-08,6.346791529881884e-08,-6.999535836394527e-08,5.6324715135762866e-08,-6.316844643493525e-09,-2.6306977569034618e-09,8.277313206282374e-08,,,2.5e-05,ZI,698.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.01e-07,8.937447361821766e-08,5.442956616236088e-08,-6.21743925550406e-08,5.807553045637114e-08,3.6886807451579237e-09,5.008070618182785e-10,8.929691686268132e-08,,,2.5e-05,ZI,723.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,5.56e-08,1.3330283179057802e-07,2.7429957569373123e-08,-3.6006966169391834e-08,3.228708433752825e-08,2.4040850767536653e-09,4.8963141565225546e-09,1.3319118381488883e-07,,,2.5e-05,ZI,748.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.52e-08,1.6709191807464104e-07,3.262530583797525e-09,-6.21420503866045e-09,1.348256466430897e-08,-1.187178715995568e-10,1.8370426820825588e-08,1.6607896438245937e-07,,,2.5e-05,ZI,773.0,,1,,,
AL2360-1d,AL2360-1,1991-1992 Eruption Site,1.22e-08,1.7039930415743768e-07,1.1695315564287923e-10,-2.575508478376548e-09,1.192447391029037e-08,2.396952332618358e-09,1.9197933890487087e-08,1.6929742115930355e-07,,,2.5e-05,ZI,798.0,,1,,,
