tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_corr_aniso	int_k	int_k_max	int_k_min	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	size	software_packages	specimen
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV6G1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV6I3A
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV7B1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV7G1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV7H1
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV9A2
														This study															Kelvin		g		LV		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	LV9F2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3B5
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3C5
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3G2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3L1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3O6
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3S2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3U2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M3V1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4F6
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4G5
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4M5
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4S2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4T3
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4U1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M4V1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5B2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5D1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5E2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5G1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5M2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5N2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5N5
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5P2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5Q1
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5S2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5T2
														This study															Kelvin		g		MSH		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	M5W2
